country,region,year,planeDeaths
Austria,Europe,1977,0
Azerbaijan,Europe,1977,0
Bahrain,Asia,1977,0
Belgium,Europe,1977,0
Benin,Africa,1977,0
Bolivia,Americas,1977,0
Bosnia and Herzegovina,Europe,1977,0
Brazil,Americas,1977,0
Bulgaria,Europe,1977,0
Cambodia,Asia,1977,0
Cameroon,Africa,1977,0
Canada,Americas,1977,0
Cape Verde,Africa,1977,0
Central African Republic,Africa,1977,0
Chile,Americas,1977,0
China,Asia,1977,0
Colombia,Americas,1977,0
Comoros,Africa,1977,0
"Congo, Dem. Rep.",Africa,1977,0
"Congo, Rep.",Africa,1977,0
Costa Rica,Americas,1977,0
Cote d'Ivoire,Africa,1977,0
Croatia,Europe,1977,0
Cuba,Americas,1977,0
Denmark,Europe,1977,0
Dominica,Americas,1977,0
Dominican Republic,Americas,1977,0
Ecuador,Americas,1977,0
Egypt,Africa,1977,0
El Salvador,Americas,1977,0
Equatorial Guinea,Africa,1977,0
Ethiopia,Africa,1977,0
Fiji,Asia,1977,0
France,Europe,1977,0
Gabon,Africa,1977,0
Georgia,Europe,1977,0
Germany,Europe,1977,0
Greece,Europe,1977,0
Guatemala,Americas,1977,0
Haiti,Americas,1977,0
Honduras,Americas,1977,0
Hungary,Europe,1977,0
India,Asia,1977,0
Indonesia,Asia,1977,0
Iran,Asia,1977,0
Iraq,Asia,1977,0
Ireland,Europe,1977,0
Israel,Asia,1977,0
Italy,Europe,1977,0
Japan,Asia,1977,0
Jordan,Asia,1977,0
Kazakhstan,Asia,1977,0
Kenya,Africa,1977,0
Kyrgyz Republic,Asia,1977,0
Lao,Asia,1977,0
Libya,Africa,1977,0
Luxembourg,Europe,1977,0
"Macedonia, FYR",Europe,1977,0
Madagascar,Africa,1977,0
Malaysia,Asia,1977,0
Maldives,Asia,1977,0
Mali,Africa,1977,0
Mauritania,Africa,1977,0
Mauritius,Africa,1977,0
Mexico,Americas,1977,0
Mongolia,Asia,1977,0
Morocco,Africa,1977,0
Mozambique,Africa,1977,0
Myanmar,Asia,1977,0
Nepal,Asia,1977,0
Netherlands,Europe,1977,0
New Zealand,Asia,1977,0
Nicaragua,Americas,1977,0
Niger,Africa,1977,0
Nigeria,Africa,1977,0
North Korea,Asia,1977,0
Norway,Europe,1977,0
Pakistan,Asia,1977,0
Panama,Americas,1977,0
Papua New Guinea,Asia,1977,0
Paraguay,Americas,1977,0
Peru,Americas,1977,0
Philippines,Asia,1977,0
Poland,Europe,1977,0
Portugal,Europe,1977,132
Romania,Europe,1977,0
Russia,Europe,1977,0
Saudi Arabia,Asia,1977,0
Senegal,Africa,1977,0
